Organization,Latitude,Longitude,Website,Image,Description
West Oakland Environmental Indicators Project,37.803248,-122.2956224,http://www.woeip.org/,https://thexpollinators.com/wp-content/uploads/2016/08/2310_West-Oakland-Environmental-Indicators-Project-WOEIP-logo.jpg,"The West Oakland Environmental Indicators Project is a resident led, community-based environmental justice organization dedicated to achieving healthy homes, healthy jobs and healthy neighborhoods for all who live, work, learn and play in West Oakland, California. Through our Community-Based Participatory Research projects and our Collaborative Problem-Solving Model we build community empowerment and help local residents to achieve their own vision for healthy neighborhoods. Our mission is to build grassroots capacity to provide local leadership for positive change. Our work aids residents in understanding the political, social and natural forces that impact their lives. We give impacted residents the tools to participate in these processes and to drive change from the bottom."
Center for Community Action and Environmental Justice,34.0131239,-117.4563003,http://ccaej.org/,https://caleja.org/wp-content/uploads/2014/03/CCAEJlogo.jpg,"The Center for Community Action and Environmental Justice (CCAEJ) is a 38 year old nonprofit working on social justice change through the lens of environmental health and justice.   The primary focus of our work is to build power within low income communities of color.  Through community capacity building and leadership development we seek to change the political and social landscape of the Inland Valleys of Riverside and San Bernardino counties.  The work of CCAEJ consistently focuses on those most affected by environmental health hazards: low-income communities of color and recent immigrants who live, work, learn and play closest to rail yards, industrial areas, toxic waste facilities, intermodal facilities, freeways and other areas at greatest risk for environmental health hazards."
Communities for a Better Environment,33.9827986,-118.2259071,http://www.cbecal.org/,https://caleja.org/wp-content/uploads/2014/03/CBElogo.jpg,"Founded in 1978, Communities for a Better Environment (CBE) is one of the preeminent environmental justice organizations in the nation. The mission of CBE is to build people’s power in California’s communities of color and low income communities to achieve environmental health and justice by preventing and reducing pollution and building green, healthy and sustainable communities and environments. CBE provides residents in blighted and heavily polluted urban communities in California with organizing skills, leadership training and legal, scientific and technical assistance, so that they can successfully confront threats to their health and well-being."
Communities for a Better Environment,33.7802633,-118.2628395,http://www.cbecal.org/,https://caleja.org/wp-content/uploads/2014/03/CBElogo.jpg,"Founded in 1978, Communities for a Better Environment (CBE) is one of the preeminent environmental justice organizations in the nation. The mission of CBE is to build people’s power in California’s communities of color and low income communities to achieve environmental health and justice by preventing and reducing pollution and building green, healthy and sustainable communities and environments. CBE provides residents in blighted and heavily polluted urban communities in California with organizing skills, leadership training and legal, scientific and technical assistance, so that they can successfully confront threats to their health and well-being."
Communities for a Better Environment,37.9324705,-122.3484109,http://www.cbecal.org/,https://caleja.org/wp-content/uploads/2014/03/CBElogo.jpg,"Founded in 1978, Communities for a Better Environment (CBE) is one of the preeminent environmental justice organizations in the nation. The mission of CBE is to build people’s power in California’s communities of color and low income communities to achieve environmental health and justice by preventing and reducing pollution and building green, healthy and sustainable communities and environments. CBE provides residents in blighted and heavily polluted urban communities in California with organizing skills, leadership training and legal, scientific and technical assistance, so that they can successfully confront threats to their health and well-being."
SCAQMD Compton Community Monitoring,33.893247,-118.2568301,http://www.aqmd.gov/home/news-events/community-investigations/air-toxics-action-plan/community-air-toxics-init-compton,http://www.aqmd.gov/Template/redesign/img/AQMD_logo.png,"SCAQMD is beginning special air monitoring in the Compton area to assess levels of the toxic compound hexavalent chromium near several metal-processing facilities in the community. Efforts will focus on chromium plating and anodizing plants.  Air monitoring results will be analyzed to assess for toxic emissions from chromium plating and anodizing plants. The Compton area has several potential chrome-emitting facilities in the community in close proximity to each other and to schools, homes, other businesses and other sensitive receptors such as hospitals and senior centers. While the facilities are not known to be emitting high levels of hexavalent chromium, air monitoring using the latest technology will confirm whether or not they could pose a significant health risk to the community. The monitoring is expected to take several months."
Environmental Health Coalition,32.5256373,-117.0362607,https://www.environmentalhealth.org/index.php/en/what-we-do/toxic-free-neighborhoods/clean-air,https://caleja.org/wp-content/uploads/2014/03/EHClogo.jpg,Environmental Health Coalition is dedicated to achieving environmental and social justice. We believe that justice is accomplished by empowered communities acting together to make social change. We organize and advocate to protect public health and the environment threatened by toxic pollution. EHC supports broad efforts that create a just society and fosters a healthy and sustainable quality of life.
Imperial County Community Air Monitoring Project,33.0211899,-116.4057862,http://cehtp.org/page/imperial_county/project-overview,http://cehtp.org/images/cehtp_logo.png,"The Imperial County Community Air Monitoring Project is a 4-year, NIH-funded project conducted by the California Environmental Health Tracking Program in collaboration with local organization Comite Civico del Valle, the University of Washington, and others. Bringing together scientists, community advocates, and local residents, this project aims to establish a community air monitoring network to collect air quality data for research while providing information that is immediately and directly useful to residents. Currently, there is a lack of understanding about how air quality varies across communities within Imperial County."
Central California Environmental Justice Network,36.7854513,-119.9346459,https://ccejn.wordpress.com/current-projects/,https://ccejn.files.wordpress.com/2017/02/newccejnlogo.jpg?w=300,CCEJN has launched various projects designed to engage community members in monitoring activities (i.e. balloon mapping; air monitoring through censors) that inform them about pollution characteristics within their communities. This information is used by residents and CCEJN to advocate for stricter regulations.
Citizens for Chiquita Canyon Landfill Compliance,34.4261296,-118.6477724,https://www.facebook.com/C4CCLC/,https://scontent.fsnc1-1.fna.fbcdn.net/v/t1.0-9/10398686_515545698577056_5508339519349865065_n.png?_nc_cat=0&oh=819fa24c0a309470d8751f21e95324de&oe=5B7101F6,"We are a group of individuals who are dedicated to upholding the safety of individuals (past, present, and future) impacted by the Chiquita Canyon Landfill"
Fort Ord Environmental Justice,36.5919201,-121.8928651,http://www.foejn.org/index.php,http://www.foejn.org/images/common/footer-logo.png,"The purpose of FOEJN is to serve the public as an independent source of verification of cleanup operations of hazardous waste at the former Fort Ord. We also act as a voice and source of unity for those effected by the cleanup of Toxins and other hazardous substances on the entire central coast. We work with the various agencies involved with the clean-up, health affects, and economic recovery of the surrounding communities. A large part of our activities involve the contracting of environmental scientists to monitor tests of soil and water, and the air on the former Army base.Our monitoring helps to alert officials to disagreement from the local affected communities of the need for better cleanup, and the need for health monitoring of residents. Our monitoring serve as a second set of eyes for the general public."
Fresh Air Vallejo,38.1027965,-122.261824,http://freshairvallejo.com/about-us/,https://scontent.fsnc1-1.fna.fbcdn.net/v/t1.0-9/18341931_679059302294358_813679415317063930_n.jpg?_nc_cat=0&oh=6d4f7cfc4d367b5162637b81118a291f&oe=5B6483E6,"Leadership with a heart. Family ties to Vallejo. 100% volunteers. Fresh Air Vallejo is a group of volunteer residents working together for a healthy environment and economy. We embrace positive change, and are building a better tomorrow, today!"
Just Transition Alliance,32.769022,117.1383988,http://jtalliance.org/,http://jtalliance.electricembers.net/wp-content/uploads/2018/03/logo.png,"The Just Transition Alliance was founded in 1997 as a coalition of environmental justice and labor organizations. Together with frontline workers, and community members who live along the fence-line of polluting industries, we create healthy workplaces and communities."
